Date,Stakeholder 1,Stakeholder 2,Stakeholder 3,Stakeholder 4,Stakeholder 5,Stakeholder 6,Stakeholder 7,Stakeholder 8,Stakeholder 9,Stakeholder 10,Stakeholder 11,Stakeholder 12,Stakeholder 13,Stakeholder 14,Stakeholder 15,Stakeholder 16,Stakeholder 17,Stakeholder 18,Stakeholder 19,Stakeholder 20
2007-06-13,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-06-18,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-06-19,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-06-19,AT&T,,,,,,,,,,,,,,,,,,,
2007-06-20,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-07-10,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-07-17,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-07-18,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-07-19,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-07-20,AT&T,,,,,,,,,,,,,,,,,,,
2007-07-28,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2007-10-10,Data Foundry,,,,,,,,,,,,,,,,,,,
2007-10-11,Data Foundry,,,,,,,,,,,,,,,,,,,
2007-10-12,Data Foundry,,,,,,,,,,,,,,,,,,,
2007-11-13,Vuze,,,,,,,,,,,,,,,,,,,
2007-11-14,Vuze,,,,,,,,,,,,,,,,,,,
2007-11-19,Free Press,,,,,,,,,,,,,,,,,,,
2007-11-21,Vuze,,,,,,,,,,,,,,,,,,,
2007-11-28,Vuze,,,,,,,,,,,,,,,,,,,
2007-11-29,Vuze,,,,,,,,,,,,,,,,,,,
2008-01-15,Free Press,Public Knowledge,,,,,,,,,,,,,,,,,,
2008-01-28,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2008-01-31,NBCUniversal,,,,,,,,,,,,,,,,,,,
2008-02-05,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2008-02-06,Free Press,,,,,,,,,,,,,,,,,,,
2008-02-06,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2008-02-15,Free Press,"Tim Wu, Columbia Law School",,,,,,,,,,,,,,,,,,
2008-02-21,Free Press,Public Knowledge,,,,,,,,,,,,,,,,,,
2008-02-22,AT&T,,,,,,,,,,,,,,,,,,,
2008-02-22,AT&T,Verizon,,,,,,,,,,,,,,,,,,
2008-02-28,Verizon,,,,,,,,,,,,,,,,,,,
2008-03-04,Consumer Federation of America,Consumers Union,,,,,,,,,,,,,,,,,,
2008-03-05,Recording Industry Association of America,,,,,,,,,,,,,,,,,,,
2008-03-11,AT&T,,,,,,,,,,,,,,,,,,,
2008-03-11,LARIAT,,,,,,,,,,,,,,,,,,,
2008-03-13,Free Press,,,,,,,,,,,,,,,,,,,
2008-03-19,AT&T,,,,,,,,,,,,,,,,,,,
2008-03-19,Recording Industry Association of America,,,,,,,,,,,,,,,,,,,
2008-03-20,Free Press,Public Knowledge,Amazon,Google,,,,,,,,,,,,,,,,
2008-03-20,Media Access Project,,,,,,,,,,,,,,,,,,,
2008-03-31,Vuze,,,,,,,,,,,,,,,,,,,
2008-03-31,AT&T,,,,,,,,,,,,,,,,,,,
2008-04-02,American Consumer Institute,,,,,,,,,,,,,,,,,,,
2008-04-03,Recording Industry Association of America,,,,,,,,,,,,,,,,,,,
2008-04-04,AT&T,,,,,,,,,,,,,,,,,,,
2008-04-15,Recording Industry Association of America,,,,,,,,,,,,,,,,,,,
2008-04-17,Vuze,,,,,,,,,,,,,,,,,,,
2008-04-21,Frontier,,,,,,,,,,,,,,,,,,,
2008-04-22,Frontier,,,,,,,,,,,,,,,,,,,
2008-04-30,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2008-04-30,Open Internet Coalition,Free Press,Public Knowledge,Skype,Google,,,,,,,,,,,,,,,
2008-05-05,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2008-05-06,CTIA - The Wireless Association,,,,,,,,,,,,,,,,,,,
2008-05-15,Free Press,Public Knowledge,Media Access Project,New America Foundation,,,,,,,,,,,,,,,,
2008-05-15,Distributed Computing Industry Association,,,,,,,,,,,,,,,,,,,
2008-05-19,Skype,,,,,,,,,,,,,,,,,,,
2008-06-04,Center for Democracy & Technology,,,,,,,,,,,,,,,,,,,
2008-06-05,Center for Democracy & Technology,,,,,,,,,,,,,,,,,,,
2008-06-09,Telecommunications Industry Association,,,,,,,,,,,,,,,,,,,
2008-06-10,Telecommunications Industry Association,,,,,,,,,,,,,,,,,,,
2008-06-11,Free Press,,,,,,,,,,,,,,,,,,,
