Community 1,Community 2,Community 3,Community 4
Public Knowledge,National Hispanic Media Coalition,Ericsson,Google
Data Foundry,Disney,Fiber Broadband Association,Verizon
Free Press,ColorOfChange,"Jackson Energy Authority, Jackson, TN",T-Mobile
Amazon,Media Action Grassroots Network,GVTC Communications,Alcatel-Lucent
IAC,Main Street Project,EATEL,CTIA - The Wireless Association
Consumers Union,Media Literacy Project,,AT&T
Media Access Project,Media Mobilizing Project,,Sprint
Computer & Communications Industry Association,Esperanza Center for Peace & Justice,,United States Cellular
Motion Picture Association of America,Media Alliance,,Open Internet Coalition
DISH Network,Center for Media Justice,,Skype
Columbia Telecommunications Corporation,Time Warner,,New America Foundation
Consumer Federation of America,Viacom,,Qwest
Directors Guild of America,NBCUniversal,,United States Telecom Association
Center for Democracy & Technology,American Federation of Television & Radio Artists,,Writers Guild of America West
National Association of Black Journalists,Screen Actors Guild,,Comcast
,National Association of Hispanic Journalists,,Cox
,Appalshop,,"Scott Jordan, Computer Science, University of California, Irvine"
,Center for Social Inclusion,,CenturyLink
,Native Public Media,,Cisco
,Presente,,Intel
,,,Verizon Wireless
,,,Juniper Networks
,,,Time Warner Cable
,,,National Cable & Telecommunications Association
,,,Telecommunications Industry Association
,,,Cablevision
,,,Measurement Lab
,,,ADTRAN
,,,Corning
,,,Mediacom
,,,California Public Utilities Commission
,,,Windstream
,,,Frontier
